"condition","responded","yes","dem","rep","lean_dem","lean_rep","dem_condition","rep_condition","neutral_condition","copart_condition","counterpart_condition","strong_dem","strong_rep","strong_part","age","race_fixed","educ_fixed","gender"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,66,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,84,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,67,"White","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,76,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,51,"White","Grad School","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,27,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,47,"White","Some College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,61,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,59,"Black","Some College","Female"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,63,"White","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,69,"Other","Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,47,"White","Some College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,74,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,37,"White","Trade School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,67,"Black","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,65,"Hispanic","College","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,54,"Hispanic","College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,49,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,80,"White","Trade School","Female"
"Democratic campaigns",1,1,1,0,0,0,1,0,0,1,0,1,0,1,51,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,77,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,70,"White","Some Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,0,0,0,63,"White","College","Female"
"Republican campaigns",0,0,1,0,1,0,0,1,0,0,1,0,0,0,57,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,60,"White","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,62,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,67,"White","Some College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,51,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,70,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,0,0,0,75,"White","Some College","Male"
"volunteers of a non-profit organization",0,0,1,0,1,0,0,0,1,0,0,0,0,0,59,"White","Grad School","Female"
"Democratic campaigns",0,0,0,1,0,1,1,0,0,0,1,0,0,0,42,"White","Some Grad School","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,68,"White","College","Female"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,71,"White","Grad School","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,64,"White","Grad School","Male"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,58,"White","Some College","Female"
"volunteers of a non-profit organization",0,0,1,0,0,0,0,0,1,0,0,1,0,1,77,"Asian","College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,69,"White","College","Female"
"Democratic campaigns",0,0,1,0,1,0,1,0,0,1,0,0,0,0,66,"White","Grad School","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,1,0,1,66,"White","Some College","Male"
"Republican campaigns",0,0,1,0,0,0,0,1,0,0,1,0,0,0,72,"White","Some College","Female"
"volunteers of a non-profit organization",1,1,1,0,0,0,0,0,1,0,0,1,0,1,81,"White","High School","Female"
"Republican campaigns",0,0,0,1,0,0,0,1,0,1,0,0,0,0,49,"White","College","Male"
"Democratic campaigns",0,0,1,0,0,0,1,0,0,1,0,1,0,1,72,"White","Some Grad School","Male"
"Republican campaigns",1,1,1,0,0,0,0,1,0,0,1,0,0,0,66,"White","Some College","Female"
